canonical_variable,display_name,description,data_type,level,unit,allowed_values,minimum,maximum,missing_allowed,source_ids,source_variables,harmonization_method,derivation_method,reference_year,quality_flag,sensitivity_class,notes
monthly_income,monthly income,Canonical monthly income field for the Tamil Nadu reference template.,string,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
monthly_wage,monthly wage,Canonical monthly wage field for the Tamil Nadu reference template.,string,PERSON,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
working_hours,working hours,Canonical working hours field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
daily_wage,daily wage,Canonical daily wage field for the Tamil Nadu reference template.,string,PERSON,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
formal_informal_work,formal informal work,Canonical formal informal work field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
individual_income,individual income,Canonical individual income field for the Tamil Nadu reference template.,number,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,MODERATE_OR_SENSITIVE,Do not impute unsupported variables during Phase 1.
household_income,household income,Canonical household income field for the Tamil Nadu reference template.,number,HOUSEHOLD,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,MODERATE_OR_SENSITIVE,Do not impute unsupported variables during Phase 1.
consumption_expenditure,consumption expenditure,Canonical consumption expenditure field for the Tamil Nadu reference template.,number,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,MODERATE_OR_SENSITIVE,Do not impute unsupported variables during Phase 1.
income_band,income band,Canonical income band field for the Tamil Nadu reference template.,string,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
poverty_status,poverty status,Canonical poverty status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
wealth_quintile,wealth quintile,Canonical wealth quintile field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
bank_account_ownership,bank account ownership,Canonical bank account ownership field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
savings_account,savings account,Canonical savings account field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
loan_outstanding,loan outstanding,Canonical loan outstanding field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
credit_access,credit access,Canonical credit access field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
ration_card_type,ration card type,Canonical ration card type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
scheme_enrollment,scheme enrollment,Canonical scheme enrollment field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
pds_benefits_received,pds benefits received,Canonical pds benefits received field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
housing_type,housing type,Canonical housing type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
dwelling_type,dwelling type,Canonical dwelling type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
house_ownership,house ownership,Canonical house ownership field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
electricity,electricity,Canonical electricity field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
drinking_water,drinking water,Canonical drinking water field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
toilet_facility,toilet facility,Canonical toilet facility field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
cooking_fuel,cooking fuel,Canonical cooking fuel field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
internet_access,internet access,Canonical internet access field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
transport_access,transport access,Canonical transport access field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
land_ownership_status,land ownership status,Canonical land ownership status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
land_size_acres,land size acres,Canonical land size acres field for the Tamil Nadu reference template.,string,PERSON,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
principal_crop,principal crop,Canonical principal crop field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
irrigation_access,irrigation access,Canonical irrigation access field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
health_status,health status,Canonical health status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
disability_type,disability type,Canonical disability type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
health_insurance,health insurance,Canonical health insurance field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
healthcare_access,healthcare access,Canonical healthcare access field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
migration_status,migration status,Canonical migration status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
origin_district_state,origin district state,Canonical origin district state field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
migration_reason,migration reason,Canonical migration reason field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_employed_members,number of employed members,Canonical number of employed members field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_unemployed_members,number of unemployed members,Canonical number of unemployed members field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_students,number of students,Canonical number of students field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
primary_earner_occupation,primary earner occupation,Canonical primary earner occupation field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
primary_earner_sector,primary earner sector,Canonical primary earner sector field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
household_employment_structure,household employment structure,Canonical household employment structure field for the Tamil Nadu reference template.,string,HOUSEHOLD,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
social_group,social group,Canonical social group field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,MODERATE_OR_SENSITIVE,Do not impute unsupported variables during Phase 1.
survey_weight,survey weight,Canonical survey weight field for the Tamil Nadu reference template.,number,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
normalized_reference_weight,normalized reference weight,Canonical normalized reference weight field for the Tamil Nadu reference template.,number,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
calibrated_reference_weight_gender_ur,calibrated reference weight gender ur,Canonical calibrated reference weight gender ur field for the Tamil Nadu reference template.,number,PERSON,INR or survey weight,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
reference_year,reference year,Canonical reference year field for the Tamil Nadu reference template.,number,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
record_quality_flag,record quality flag,Canonical record quality flag field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
